FID,SHAPE,NAME,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.538777,POINT (16.280833390580796 48.206925258335495),Auslaufbrunnen,538777,
TRINKBRUNNENOGD.538778,POINT (16.26508720789064 48.207300356268384),Auslaufbrunnen,538778,
TRINKBRUNNENOGD.538779,POINT (16.41556759319453 48.2052462029321),Auslaufbrunnen,538779,
TRINKBRUNNENOGD.538780,POINT (16.43290235268498 48.20249852876523),Auslaufbrunnen,538780,
TRINKBRUNNENOGD.538781,POINT (16.485723750388154 48.20237503526802),Auslaufbrunnen,538781,
TRINKBRUNNENOGD.538782,POINT (16.474253253802488 48.205590202514934),Auslaufbrunnen,538782,
TRINKBRUNNENOGD.538783,POINT (16.476412856440973 48.2059900311393),Auslaufbrunnen,538783,
TRINKBRUNNENOGD.538784,POINT (16.36543724203992 48.21189795900232),Auslaufbrunnen,538784,
TRINKBRUNNENOGD.538790,POINT (16.362551782563486 48.225770261251135),Auslaufbrunnen,538790,
TRINKBRUNNENOGD.538791,POINT (16.4233584839309 48.22631344500725),Auslaufbrunnen,538791,
TRINKBRUNNENOGD.538792,POINT (16.422334752563515 48.229351455393044),Auslaufbrunnen,538792,
TRINKBRUNNENOGD.538793,POINT (16.421084407576597 48.23427505230634),Auslaufbrunnen,538793,
TRINKBRUNNENOGD.538794,POINT (16.28158603979285 48.24206154787553),Auslaufbrunnen,538794,
TRINKBRUNNENOGD.538795,POINT (16.273822022832572 48.242508298651494),Auslaufbrunnen,538795,
TRINKBRUNNENOGD.538796,POINT (16.308215934231196 48.23557448623858),Auslaufbrunnen,538796,
TRINKBRUNNENOGD.538797,POINT (16.2972924520886 48.23785890619244),Auslaufbrunnen,538797,
TRINKBRUNNENOGD.538798,POINT (16.34162411192442 48.24262127331233),Auslaufbrunnen,538798,
TRINKBRUNNENOGD.538799,POINT (16.41550682381815 48.24709775484307),Auslaufbrunnen,538799,
TRINKBRUNNENOGD.538800,POINT (16.402759964865293 48.24713652304281),Auslaufbrunnen,538800,
TRINKBRUNNENOGD.538801,POINT (16.418557074597576 48.245833872216394),Auslaufbrunnen,538801,
TRINKBRUNNENOGD.538802,POINT (16.417947542694453 48.25325137781647),Auslaufbrunnen,538802,
TRINKBRUNNENOGD.538803,POINT (16.472088059310433 48.257253265062744),Auslaufbrunnen,538803,
TRINKBRUNNENOGD.538804,POINT (16.47095657928843 48.25762583332687),Auslaufbrunnen,538804,
TRINKBRUNNENOGD.538805,POINT (16.49849890752731 48.255416679016214),Auslaufbrunnen,538805,
TRINKBRUNNENOGD.538806,POINT (16.491455108565344 48.25919029764399),Auslaufbrunnen,538806,
TRINKBRUNNENOGD.538807,POINT (16.46208386749851 48.25745100223346),Auslaufbrunnen,538807,
TRINKBRUNNENOGD.538808,POINT (16.461444115968998 48.260292082180996),Auslaufbrunnen,538808,
TRINKBRUNNENOGD.538809,POINT (16.500949961115953 48.25624451294978),Auslaufbrunnen,538809,
TRINKBRUNNENOGD.538810,POINT (16.4000831081478 48.278222307368786),Auslaufbrunnen,538810,
TRINKBRUNNENOGD.538811,POINT (16.445035313723505 48.26174041542817),Auslaufbrunnen,538811,
TRINKBRUNNENOGD.538812,POINT (16.339655773232522 48.271864619943464),Auslaufbrunnen,538812,
TRINKBRUNNENOGD.538813,POINT (16.38068314129616 48.27881908022768),Auslaufbrunnen,538813,
TRINKBRUNNENOGD.538814,POINT (16.36339927796041 48.2128666845583),Auslaufbrunnen,538814,
TRINKBRUNNENOGD.538815,POINT (16.339128119896277 48.20272681735345),Auslaufbrunnen,538815,
TRINKBRUNNENOGD.538816,POINT (16.25365879316164 48.14507349535059),Auslaufbrunnen,538816,
TRINKBRUNNENOGD.538817,POINT (16.372434205527952 48.2109689343255),Auslaufbrunnen,538817,
TRINKBRUNNENOGD.538818,POINT (16.25063154165905 48.213451029467485),Auslaufbrunnen,538818,
TRINKBRUNNENOGD.538819,POINT (16.37073311993508 48.20813016092509),Auslaufbrunnen,538819,
TRINKBRUNNENOGD.538820,POINT (16.335896002065244 48.20178306756394),Auslaufbrunnen,538820,
TRINKBRUNNENOGD.538821,POINT (16.35820616994986 48.20983834101387),Auslaufbrunnen,538821,
TRINKBRUNNENOGD.538822,POINT (16.317958188478237 48.21440006633144),Auslaufbrunnen,538822,
TRINKBRUNNENOGD.538823,POINT (16.262093171780737 48.21007070607003),Auslaufbrunnen,538823,
TRINKBRUNNENOGD.538824,POINT (16.363363199321395 48.20615079416905),Auslaufbrunnen,538824,
TRINKBRUNNENOGD.538825,POINT (16.309567663074002 48.25711547991654),Auslaufbrunnen,538825,
TRINKBRUNNENOGD.538826,POINT (16.346481508905093 48.260366552602996),Auslaufbrunnen,538826,
TRINKBRUNNENOGD.538827,POINT (16.367410955317446 48.25785825170348),Auslaufbrunnen,538827,
TRINKBRUNNENOGD.538828,POINT (16.465794247812546 48.210757917914535),Auslaufbrunnen,538828,
TRINKBRUNNENOGD.538829,POINT (16.4059837124786 48.21023078576543),Auslaufbrunnen,538829,
TRINKBRUNNENOGD.538830,POINT (16.400772284022754 48.212947257497255),Auslaufbrunnen,538830,
TRINKBRUNNENOGD.538831,POINT (16.448848007403722 48.213670271333136),Auslaufbrunnen,538831,
TRINKBRUNNENOGD.538832,POINT (16.45566540373338 48.21062150395529),Auslaufbrunnen,538832,
TRINKBRUNNENOGD.538833,POINT (16.473830574242033 48.2113717951139),Auslaufbrunnen,538833,
TRINKBRUNNENOGD.538834,POINT (16.478316299004298 48.20987616270873),Auslaufbrunnen,538834,
TRINKBRUNNENOGD.538835,POINT (16.529713554807657 48.21290803706385),Auslaufbrunnen,538835,
TRINKBRUNNENOGD.538836,POINT (16.334906460104516 48.21915489822967),Auslaufbrunnen,538836,
TRINKBRUNNENOGD.538837,POINT (16.344355632228716 48.22490017715594),Auslaufbrunnen,538837,
TRINKBRUNNENOGD.538838,POINT (16.451902551651266 48.22125994574648),Auslaufbrunnen,538838,
TRINKBRUNNENOGD.538839,POINT (16.53303081433875 48.21993649880238),Auslaufbrunnen,538839,
TRINKBRUNNENOGD.538840,POINT (16.483780487074384 48.217706640131624),Auslaufbrunnen,538840,
TRINKBRUNNENOGD.538841,POINT (16.492357414316775 48.217416601469125),Auslaufbrunnen,538841,
TRINKBRUNNENOGD.538842,POINT (16.358663616522524 48.21143258598651),Auslaufbrunnen,538842,
TRINKBRUNNENOGD.538843,POINT (16.28379729368214 48.22678247072503),Auslaufbrunnen,538843,
TRINKBRUNNENOGD.538844,POINT (16.291445305755865 48.23321012388821),Auslaufbrunnen,538844,
